District,Name,Party,Bills Summary
008,"Ackert, Tim",R,HB05041: AN ACT EXEMPTING CERTAIN ARTICLES OF CHILDREN'S CLOTHING FROM THE SALES AND USE TAXES. | HB05042: AN ACT CONCERNING THE SALES PRICE THRESHOLD OF MOTOR VEHICLES SUBJECT TO A HIGHER SALES AND USE TAXES RATE. | HB05043: AN ACT REDUCING FEES FOR SMALL BUSINESS FILINGS WITH THE SECRETARY OF THE STATE. | HB05044: AN ACT ESTABLISHING A CHILD TAX CREDIT AGAINST THE PERSONAL INCOME TAX. | HB05062: AN ACT CONCERNING FUNDING OF THE SPECIAL EDUCATION EXCESS COST GRANT.
002,"Allie-Brennan, Raghib",D,
062,"Anderson, Mark W",R,HB05045: AN ACT ELIMINATING THE FEE FOR CERTAIN VEHICLES EXEMPT FROM EMISSION INSPECTIONS. | HB05061: AN ACT CONCERNING COST-OF-LIVING ADJUSTMENTS TO THE EDUCATION COST SHARING GRANT FORMULA. | HB05069: AN ACT ELIMINATING THE HIGHWAY USE TAX.
035,"Aniskovich, Chris",R,HB05008: AN ACT CONCERNING FUNDING FOR SCHOOL BREAKFAST AND LUNCH.
058,"Arnone, Tom",D,HB05008: AN ACT CONCERNING FUNDING FOR SCHOOL BREAKFAST AND LUNCH.
151,"Arzeno, Hector",D,HB05008: AN ACT CONCERNING FUNDING FOR SCHOOL BREAKFAST AND LUNCH.
124,"Baker, Andre F.",D,
031,"Barry, Jill",D,
100,"Belton, Kai J.",D,HB05012: AN ACT CONCERNING FUNDING FOR IN-PATIENT ADDICTION TREATMENT PROVIDERS THAT COVERS ROOM AND BOARD COSTS.
111,"Berger-Girvalo, Aimee",D,
147,"Blumenthal, Matt",D,HB05008: AN ACT CONCERNING FUNDING FOR SCHOOL BREAKFAST AND LUNCH.
106,"Bolinsky, Mitch",R,
050,"Boyd, Patrick S.",D,
070,"Bronko, Seth",R,
056,"Brown, Kevin",D,HB05008: AN ACT CONCERNING FUNDING FOR SCHOOL BREAKFAST AND LUNCH.
127,"Brown, Marcus",D,
